iter	Passed	Remaining
0	138	138233
1	139	69599
2	140	46707
3	141	35261
4	142	28401
5	143	23805
6	144	20524
7	145	18076
8	146	16155
9	147	14628
10	148	13369
11	149	12331
12	150	11459
13	151	10701
14	152	10044
15	153	9467
16	154	8958
17	155	8504
18	156	8099
19	157	7734
20	158	7405
21	159	7105
22	160	6829
23	161	6579
24	162	6349
25	163	6136
26	164	5938
27	165	5752
28	166	5581
29	167	5419
30	168	5270
31	169	5128
32	170	4995
33	171	4870
34	172	4752
35	173	4641
36	174	4536
37	175	4438
38	176	4349
39	177	4259
40	178	4177
41	179	4102
42	180	4027
43	182	3954
44	183	3883
45	184	3816
46	185	3751
47	185	3688
48	186	3627
49	187	3569
50	188	3515
51	190	3464
52	190	3412
53	191	3363
54	193	3317
55	193	3269
56	194	3224
57	195	3181
58	196	3138
59	197	3097
60	198	3057
61	199	3019
62	200	2984
63	201	2949
64	202	2917
65	203	2884
66	204	2852
67	205	2821
68	206	2790
69	207	2760
70	208	2732
71	209	2704
72	210	2675
73	211	2649
74	212	2622
75	213	2597
76	214	2573
77	215	2547
78	216	2523
79	217	2500
80	218	2476
81	219	2454
82	220	2431
83	221	2411
84	222	2390
85	222	2369
86	223	2349
87	224	2330
88	225	2310
89	226	2291
90	227	2273
91	228	2255
92	229	2238
93	230	2221
94	231	2206
95	232	2189
96	233	2173
97	234	2157
98	235	2141
99	236	2126
100	237	2112
101	238	2098
102	239	2084
103	240	2070
104	241	2056
105	242	2043
106	243	2029
107	244	2016
108	245	2003
109	246	1990
110	247	1978
111	248	1966
112	249	1954
113	249	1940
114	250	1928
115	251	1916
116	252	1906
117	253	1895
118	254	1884
119	255	1873
120	256	1862
121	257	1851
122	258	1842
123	259	1831
124	260	1821
125	261	1811
126	262	1802
127	263	1792
128	264	1782
129	265	1773
130	265	1764
131	267	1755
132	267	1746
133	268	1738
134	269	1729
135	270	1720
136	271	1712
137	272	1704
138	273	1696
139	274	1688
140	275	1679
141	276	1671
142	277	1664
143	278	1657
144	279	1650
145	280	1642
146	281	1634
147	282	1627
148	283	1619
149	284	1612
150	285	1605
151	286	1598
152	287	1590
153	288	1584
154	289	1578
155	290	1570
156	291	1563
157	292	1557
158	292	1548
159	293	1542
160	294	1535
161	295	1529
162	296	1524
163	297	1518
164	298	1511
165	299	1505
166	300	1499
167	301	1493
168	302	1488
169	303	1482
170	304	1476
171	305	1470
172	306	1465
173	307	1459
174	308	1453
175	309	1447
176	310	1442
177	311	1437
178	312	1432
179	313	1427
180	314	1422
181	315	1416
182	316	1411
183	317	1407
184	318	1402
185	319	1397
186	320	1394
187	321	1389
188	322	1384
189	323	1379
190	324	1374
191	325	1369
192	326	1364
193	327	1359
194	328	1354
195	329	1350
196	330	1345
197	331	1340
198	331	1336
199	333	1332
200	334	1327
201	335	1323
202	335	1319
203	336	1314
204	337	1310
205	338	1306
206	339	1301
207	340	1297
208	341	1293
209	342	1289
210	343	1285
211	344	1281
212	345	1277
213	346	1273
214	347	1269
215	348	1264
216	349	1261
217	350	1256
218	351	1252
219	352	1248
220	353	1244
221	354	1240
222	355	1237
223	356	1233
224	356	1228
225	357	1225
226	358	1221
227	359	1217
228	360	1214
229	361	1210
230	362	1206
231	363	1203
232	364	1200
233	365	1196
234	366	1193
235	367	1189
236	368	1186
237	369	1182
238	370	1179
239	371	1176
240	372	1173
241	373	1169
242	374	1166
243	375	1162
244	376	1159
245	377	1156
246	378	1153
247	379	1149
248	380	1146
249	381	1143
250	382	1139
251	382	1136
252	383	1133
253	385	1130
254	386	1127
255	387	1124
256	387	1121
257	388	1118
258	389	1115
259	390	1112
260	391	1109
261	392	1106
262	393	1103
263	394	1100
264	395	1097
265	396	1094
266	397	1090
267	398	1087
268	399	1084
269	399	1081
270	400	1078
271	401	1074
272	402	1071
273	403	1068
274	404	1065
275	404	1062
276	405	1059
277	406	1056
278	407	1053
279	408	1050
280	409	1047
281	410	1044
282	411	1041
283	411	1038
284	412	1035
285	413	1032
286	414	1029
287	415	1026
288	416	1023
289	417	1021
290	417	1018
291	418	1015
292	419	1013
293	420	1010
294	421	1007
295	422	1004
296	423	1001
297	424	998
298	424	996
299	425	993
300	426	990
301	427	988
302	428	985
303	429	982
304	430	979
305	430	977
306	431	974
307	432	972
308	433	969
309	434	967
310	435	964
311	436	961
312	436	959
313	437	956
314	438	954
315	439	951
316	440	948
317	441	946
318	442	943
319	442	941
320	443	938
321	444	936
322	445	933
323	446	931
324	447	929
325	448	926
326	449	924
327	450	922
328	451	919
329	451	917
330	452	915
331	453	913
332	454	910
333	455	908
334	456	906
335	457	903
336	458	901
337	459	899
338	460	897
339	460	894
340	461	892
341	462	890
342	463	888
343	464	886
344	465	884
345	466	882
346	467	879
347	468	877
348	469	875
349	470	873
350	471	871
351	472	869
352	473	867
353	474	865
354	475	863
355	475	861
356	476	858
357	477	856
358	478	854
359	479	852
360	480	850
361	481	847
362	481	845
363	482	843
364	483	841
365	484	839
366	485	837
367	486	834
368	487	832
369	487	830
370	488	828
371	489	826
372	490	824
373	491	822
374	492	820
375	492	818
376	493	816
377	494	814
378	495	812
379	496	810
380	497	808
381	498	806
382	499	804
383	500	802
384	500	800
385	501	797
386	502	795
387	503	794
388	504	792
389	505	790
390	506	788
391	506	786
392	507	784
393	508	782
394	509	780
395	510	778
396	511	776
397	512	774
398	513	772
399	513	770
400	514	769
401	515	767
402	516	765
403	517	763
404	518	761
405	519	759
406	520	758
407	521	756
408	522	754
409	522	752
410	523	750
411	524	748
412	525	746
413	526	744
414	527	743
415	528	741
416	528	739
417	529	737
418	530	735
419	531	734
420	532	732
421	533	730
422	534	728
423	535	726
424	535	725
425	536	723
426	537	721
427	538	719
428	539	717
429	540	716
430	541	714
431	541	712
432	542	710
433	543	709
434	544	707
435	545	705
436	546	703
437	547	701
438	547	700
439	548	698
